页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
5,96062100,--塑料制，未用纺织材料包裹,6,100, , 
5,96062,-纽扣：, , , , 
5,96061000,-揿扣及其零件,6,100, , 
5,9606,纽扣、揿扣、纽扣芯及纽扣和揿扣的其他零件；纽扣坯：, , , , 
5,96050000,个人梳妆、缝纫或清洁鞋靴、衣服用的成套旅行用具,6,100, , 
5,9605,个人梳妆、缝纫或清洁鞋靴、衣服用的成套旅行用具：, , , , 
5,96040000,手用粗筛、细筛,6,100, , 
5,9604,手用粗筛、细筛：, , , , 
5,96039090,---其他,6,100, , 
5,96039010,---羽毛掸,6,130, , 
5,96039,-其他：, , , , 
5,96035099,----其他,14,100, , 
5,96035091,----作为机器、器具零件的刷,14,50, , 
5,9603509,---其他：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
6,96035019,----其他,14,50, , 
6,96035011,----作为机器、器具零件的刷,14,50, , 
6,9603501,---金属丝刷：, , , , 
6,96035,-作为机器、器具、车辆零件的刷：, , , , 
6,96034020,---油漆块垫及滚筒,6,100, , 
6,96034019,----其他,6,100, , 
6,96034011,----猪鬃制,6,100, , 
6,9603401,---漆刷及类似刷：, , , , 
6,96034,-油漆刷、涂料刷、清漆刷及类似的刷（子目9603.30的货品除外)；油漆块垫及滚筒：, , , , 
6,96033090,---其他,6,100, , 
6,96033020,---毛笔,8,100, , 
6,96033010,---画笔,8,100, , 
6,96033,-画笔、毛笔及化妆用的类似笔：, , , , 
6,96032900,--其他,6,100, , 
6,96032100,--牙刷，包括齿板刷,8,100, , 
6,96032,-牙刷、剃须刷、发刷、指甲刷、睫毛刷及其他人体化妆用刷，包括作为器具零件的上述刷：, , , , 
6,96031000,-用枝条或其他植物材料捆扎而成的帚及刷，不论是否有把,12,100, , 
6,9603,帚、刷（包括作为机器、器具、车辆零件的刷)、非机动的手工操作地板清扫器、拖把及毛掸；供制帚、刷用的成束或成簇的材料；油漆块垫及滚筒；橡皮扫帚（橡皮辊除外)：, , , , 
6,96020090,---其他,12,100, , 
6,96020010,---装药用胶囊,5,40, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
7,9602,已加工的植物质或矿物质雕刻材料及其制品；蜡、硬脂、天然树胶、天然树脂或塑型膏制成的模塑或雕刻制品以及其他税号未列名的模塑或雕刻制品；已加工的未硬化明胶（税目35.03的明胶除外)及未硬化明胶制品：, , , , 
7,96019000,-其他,20,100, , 
7,96011000,-已加工的兽牙及其制品,20,100, , 
7,9601,已加工的兽牙、骨、玳瑁壳、角、鹿角、珊瑚、珍珠母及其他动物质雕刻材料及其制品（包括模塑制品)：, , , , 
7,95089000,-其他,6,100, , 
7,95081000,-流动马戏团及流动动物园,6,100, , 
7,9508,旋转木马、秋千、射击用靶及其他游乐场的娱乐设备；流动马戏团及流动动物园；流动剧团：, , , , 
7,95079000,-其他,6,80, , 
7,95073000,-钓线轮,6,80, , 
7,95072000,-钓鱼钩，不论有无系钩丝,6,80, , 
7,95071000,-钩鱼竿,6,80, , 
7,9507,钓鱼竿、钓鱼钩及其他钓鱼用品；捞鱼网、捕蝶网及类似网；囮子“鸟”（税目92.08或97.05的货品除外)以及类似的狩猎用品：, , , , 
7,95069900,--其他,6,50, , 
7,95069190,---其他,6,50, , 
7,95069120,---滑板,6,50, , 
7,95069119,----其他,6,50, , 
7,95069111,----跑步机,6,50, , 
7,9506911,---健身及康复器械：, , , , 
7,950691,--一般的体育活动、体操或竞技用品及设备：, , , , 
7,95069,-其他：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
8,95067020,---旱冰鞋,6,50, , 
8,95067010,---溜冰鞋,6,50, , 
8,95067,-溜冰鞋及旱冰鞋，包括装有冰刀的溜冰靴：, , , , 
8,95066900,--其他,6,50, , 
8,95066290,---其他,6,50, , 
8,95066210,---篮球、足球、排球,6,50, , 
8,950662,--可充气的球：, , , , 
8,95066100,--草地网球,6,50, , 
8,95066,-球，但高尔夫球及乒乓球除外：, , , , 
8,95065900,--其他,6,50, , 
8,95065100,--草地网球拍，不论是否装弦,6,50, , 
8,95065,-网球拍、羽毛球拍或类似的球拍，不论是否装弦：, , , , 
8,95064090,---其他,6,50, , 
8,95064010,---乒乓球,6,50, , 
8,95064,-乒乓球运动用品及器械：, , , , 
8,95063900,--其他,6,50, , 
8,95063200,--球,6,50, , 
8,95063100,--棍，全套,6,50, , 
8,95063,-高尔夫球棍及其他高尔夫球用具：, , , , 
8,95062900,--其他,6,50, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
9,95062100,--帆板,6,50, , 
9,95062,-滑水板、冲浪板、帆板及其他水上运动用具：, , , , 
9,95061900,--其他,6,50, , 
9,95061200,--滑雪屐扣件（滑雪屐带),6,50, , 
9,95061100,--滑雪屐,6,50, , 
9,95061,-滑雪屐及其他滑雪用具：, , , , 
9,9506,一般的体育活动、体操、竞技及其他运动（包括乒乓球运动)或户外游戏用的本章其他税号未列名用品及设备；游泳池或戏水池：, , , , 
9,95059000,-其他,0,100, , 
9,95051000,-圣诞节用品,0,100, , 
9,9505,节日（包括狂欢节)用品或其他娱乐用品，包括魔术道具及嬉戏品：, , , , 
9,95049090,---其他,0,80, , 
9,95049040,---麻将及类似桌上游戏用品,0,80, , 
9,95049030,---中国象棋、国际象棋、跳棋等棋类用品,0,80, , 
9,95049029,----其他,0,80, , 
9,95049023,----保龄球瓶,0,80, , 
9,95049022,----保龄球,0,80, , 
9,95049021,----保龄球自动分瓶机,0,80, , 
9,9504902,---保龄球自动球道设备及器具：, , , , 
9,95049010,---其他电子游戏机,0,130, , 
9,95049,-其他：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
10,95045099,----其他,0,130, , 
10,95045091,----零件及附件,0,130, , 
10,9504509,---其他:, , , , 
10,95045019,----其他,0,130, , 
10,95045011,----零件及附件,0,130, , 
10,9504501,---与电视接收机配套使用的：, , , , 
10,95045,-视频游戏控制器及设备，但子目9504.30的货品除外：, , , , 
10,95044000,-扑克牌,0,80, , 
10,95043090,---其他,0,80, , 
10,95043010,---电子游戏机,0,130, , 
10,95043,-用硬币、钞票、银行卡、代币或任何其他支付方式使其工作的其他游戏用品，但保龄球自动球道设备除外：, , , , 
10,95042000,-各种台球用品及附件,0,80, , 
10,9504,视频游戏控制器及设备、游艺场所、桌上或室内游戏用品，包括弹球机、台球、娱乐专用桌及保龄球自动球道设备：, , , , 
10,95030090,---零件、附件,0,80, , 
10,95030089,----其他,0,80, , 
10,95030083,----带动力装置的玩具及模型,0,80, , 
10,9503008,---其他玩具：, , , , 
10,95030060,---智力玩具,0,80, , 
10,95030029,----其他,0,80, , 
10,95030021,----动物,0,80, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
11,9503002,---玩偶，不论是否着装;玩具动物：, , , , 
11,95030010,---三轮车、踏板车、踏板汽车和类似的带轮玩具；玩偶车,0,80, , 
11,9503,三轮车、踏板车、踏板汽车和类似的带轮玩具；玩偶车；玩偶；其他玩具；缩小（按比例缩小)的模型及类似的娱乐用模型，不论是否活动；各种智力玩具：, , , , 
11,94069000,-其他,10,70, , 
11,94061000,-木制的,10,70, , 
11,9406,活动房屋：, , , , 
11,94059900,--其他,20,70, , 
11,94059200,--塑料制,20,70, , 
11,94059100,--玻璃制,20,70, , 
11,94059,-零件：, , , , 
11,94056000,-发光标志、发光铭牌及类似品,10,80, , 
11,94055000,-非电气的灯具及照明装置,10,80, , 
11,94054090,---其他,6,80, , 
11,94054020,---聚光灯,10,70, , 
11,94054010,---探照灯,10,70, , 
11,94054,-其他电灯及照明装置：, , , , 
11,94053000,-圣诞树用的成套灯具,8,100, , 
11,94052000,-电气的台灯、床头灯或落地灯,10,80, , 
11,94051000,-枝形吊灯及天花板或墙壁上的其他电气照明装置，但不包括公共露天场所或街道上的电气照明装置,5,80, , 
11,9405,其他税号未列名的灯具及照明装置，包括探照灯、聚光灯及其零件；装有固定光源的发光标志、发光铭牌及类似品，以及其他税号未列名的这些货品的零件：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
12,94049090,---其他,10,130, , 
12,94049040,---化纤棉填充的,10,130, , 
12,94049030,---丝棉填充的,10,130, , 
12,94049020,---兽毛填充的,10,130, , 
12,94049010,---羽毛或羽绒填充的,10,130, , 
12,94049,-其他：, , , , 
12,94043090,---其他,10,100, , 
12,94043010,---羽毛或羽绒填充的,10,130, , 
12,94043,-睡袋：, , , , 
12,94042900,--其他材料制,10,100, , 
12,94042100,--海绵橡胶或泡沫塑料制，不论是否包面,10,100, , 
12,94042,-褥垫：, , , , 
12,94041000,-弹簧床垫,10,100, , 
12,9404,弹簧床垫；寝具及类似用品，装有弹簧、内部用任何材料填充、衬垫或用海绵橡胶、泡沫塑料制成，不论是否包面（例如，褥垫、棉被、羽绒被、靠垫、坐垫及枕头)：, , , , 
12,94039000,-零件,0,100, , 
12,94038990,---其他,0,100, , 
12,94038920,---石制的,0,100, , 
12,94038910,---柳条及类似材料制的,0,100, , 
12,940389,--其他：, , , , 
12,94038300,--藤制的,0,100, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
13,94038200,--竹制的,0,100, , 
13,94038,-其他材料制的家具，包括藤、柳条、竹或类似材料制的：, , , , 
13,94037000,-塑料家具,0,100, , 
13,94036099,----其他,0,100, , 
13,94036091,----天然漆（大漆)漆木家具,0,100, , 
13,9403609,---其他：, , , , 
13,94036010,---红木制,0,100, , 
13,94036,-其他木家具：, , , , 
13,94035099,----其他,0,100, , 
13,94035091,----天然漆（大漆)漆木家具,0,100, , 
13,9403509,---其他：, , , , 
13,94035010,---红木制,0,100, , 
13,94035,-卧室用木家具：, , , , 
13,94034000,-厨房用木家具,0,100, , 
13,94033000,-办公室用木家具,0,100, , 
13,94032000,-其他金属家具,0,100, , 
13,94031000,-办公室用金属家具,0,100, , 
13,9403,其他家具及其零件：, , , , 
13,94029000,-其他,0,30, , 
13,94021090,---其他,0,30, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
14,94021010,---理发用椅及其零件,0,100, , 
14,94021,-牙科、理发及类似用途的椅及其零件：, , , , 
14,9402,医疗、外科、牙科或兽  医用家具（例如，手术台、检查台、带机械装  置的病床、牙科用椅)；有旋转、倾斜、升降装置的理发用椅及类似椅；上述物品的零件：, , , , 
14,94019090,---其他,0,100, , 
14,94019019,----其他,0,100, , 
14,94019011,----座椅调角器,10,100, , 
14,9401901,---机动车辆用：, , , , 
14,94019,-零件：, , , , 
14,94018090,---其他,0,100, , 
14,94018010,---石制的,0,100, , 
14,94018,-其他坐具：, , , , 
14,94017900,--其他,0,100, , 
14,94017190,---其他,0,100, , 
14,94017110,---皮革或再生皮革面的,0,100, , 
14,940171,--装软垫的：, , , , 
14,94017,-金属框架的其他坐具：, , , , 
14,94016900,--其他,0,100, , 
14,94016190,---其他,0,100, , 
14,94016110,---皮革或再生皮革面的,0,100, , 
14,940161,--装软垫的：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
15,94016,-木框架的其他坐具：, , , , 
15,94015900,--其他,0,100, , 
15,94015300,--藤制的,0,100, , 
15,94015200,--竹制的,0,100, , 
15,94015,-藤、柳条、竹及类似材料制的坐具：, , , , 
15,94014090,---其他,0,100, , 
15,94014010,---皮革或再生皮革面的,0,100, , 
15,94014,-能做床用的两用椅，但庭园坐具或野营设备除外：, , , , 
15,94013000,-可调高度的转动坐具,0,100, , 
15,94012090,---其他,10,100, , 
15,94012010,---皮革或再生皮革面的,10,100, , 
15,94012,-机动车辆用坐具：, , , , 
15,94011000,-飞机用坐具,0,100, , 
15,9401,坐具（包括能做床用的两用椅，但税目94.02的货品除外)及其零件：, , , , 
15,93070090,---其他,13,80, , 
15,93070010,---军用,13,80, , 
15,9307,剑、短弯刀、刺刀、长矛和类似的武器及其零件；刀鞘、剑鞘：, , , , 
15,93069000,-其他,13,80, , 
15,93063090,---其他,13,80, , 
15,93063080,---铆接机或类似工具用及弩枪式无痛捕杀器用子弹及其零件,13,80, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
16,93063,-其他子弹及其零件：, , , , 
16,93062900,--其他,13,80, , 
16,93062100,--猎枪子弹,13,80, , 
16,93062,-猎枪子弹及其零件；气枪弹丸：, , , , 
16,9306,炸弹、手榴弹、鱼雷、地雷、水雷、导弹及类似武器及其零件；子弹、其他弹药和射弹及其零件，包括弹丸及弹垫：, , , , 
16,93059900,--其他,13,80, , 
16,93059100,--税目93.01的军用武器用,13,80, , 
16,93059,-其他：, , , , 
16,93052000,-税目93.03的猎枪或步枪用,13,80, , 
16,93051000,-左轮手枪或其他手枪用,13,80, , 
16,9305,税目93.01至93.04所列物品的零件、附件：, , , , 
16,93040000,其他武器（例如，弹簧枪、气枪、气手枪、警棍)，但不包括税目93.07的货品,13,80, , 
16,9304,其他武器（例如，弹簧枪、气枪、气手枪、警棍)，但不包括税目93.07的货品：, , , , 
16,93039000,-其他,13,80, , 
16,93033000,-其他运动、狩猎或打靶用步枪,13,80, , 
16,93032000,-其他运动、狩猎或打靶用猎枪，包括组合式滑膛来复枪,13,80, , 
16,93031000,-前装枪,13,80, , 
16,9303,靠爆炸药发射的其他火器及类似装置（例如，运动用猎枪及步枪、前装枪、维利式信号枪及其他专为发射信号弹的装置、发射空包弹的左轮手枪和其他手枪、弩枪式无痛捕杀器、抛缆枪)：, , , , 
16,93020000,左轮手枪及其他手枪，但税目93.03或93.04的货品除外,13,80, , 
16,9302,左轮手枪及其他手枪，但税目93.03或93.04的货品除外：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
17,93019000,-其他,13,80, , 
17,93012000,-火箭发射装置；火焰喷射器；手榴弹发射器；鱼雷发射管及类似发射装置,13,80, , 
17,93011090,---其他,13,80, , 
17,93011010,---自推进的,13,80, , 
17,93011,-火炮武器（例如，榴弹炮及追击炮)：, , , , 
17,9301,军用武器，但左轮手枪、其他手枪及税目93.07的兵器除外：, , , , 
17,92099990,---其他,17.5,70, , 
17,92099920,---百音盒的机械装置,17.5,70, , 
17,92099910,---节拍器、音叉及定音管,17.5,70, , 
17,920999,--其他：, , , , 
17,92099400,--税目92.07所列乐器的零件、附件,17.5,70, ,10
17,92099200,--税目92.02所列乐器的零件、附件,17.5,70, , 
17,92099100,--钢琴的零件、附件,17.5,70, , 
17,92099,-其他：, , , , 
17,92093000,-乐器用的弦,17.5,70, , 
17,9209,乐器的零件（例如，百音盒的机械装置)、附件 （例如，机械乐器用的卡片、盘及带卷)，节拍器、音叉及各种定音管：, , , , 
17,92089000,-其他,10,80, , 
17,92081000,-百音盒,10,80, , 
17,9208,百音盒、游艺场风琴、手摇风琴、机械鸣禽、乐锯及本章其他税号未列名的其他乐器；各种媒诱音响器、哨子、号角、口吹音响信号器：, , , , 
17,92079000,-其他,12,100, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
18,92071000,-键盘乐器，但手风琴除外,12,100, , 
18,9207,通过电产生或扩大声音的乐器（例如，电风琴、电吉他、电手风琴)：, , , , 
18,92060000,打击乐器（例如，鼓、木琴、钹、响板、响葫芦),10,70, , 
18,9206,打击乐器（例如，鼓、木琴、钹、响板、响葫芦)：, , , , 
18,92059090,---其他,10,70, ,1
18,92059030,---口琴,10,80, , 
18,92059020,---手风琴及类似乐器,10,80, , 
18,92059010,---键盘管风琴；簧风琴及类似的游离金属簧片键盘乐器,10,80, , 
18,92059,-其他：, , , , 
18,92051000,-铜管乐器,10,70, ,1
18,9205,管乐器（例如，键盘管风琴、手风琴、单簧管、小号、风笛)，但游艺场风琴及手摇风琴除外：, , , , 
18,92029000,-其他,10,70, , 
18,92021000,-弓弦乐器,10,70, ,1
18,9202,其他弦乐器（例如，吉他、小提琴、竖琴)：, , , , 
18,92019000,-其他,10,70, , 
18,92012000,-大钢琴,10,70, ,1
18,92011000,-竖式钢琴,10,70, , 
18,9201,钢琴，包括自动钢琴；拨弦古钢琴及其他键盘弦乐器：, , , , 
18,91149090,---其他,14,70, , 
18,91149010,---宝石轴承,14,50, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
19,91149,-其他：, , , , 
19,91144000,-夹板及横担（过桥),14,50, , 
19,91143000,-钟面或表面,14,50, , 
19,91141000,-发条，包括游丝,14,50, , 
19,9114,钟、表的其他零件：, , , , 
19,91139000,-其他,14,100, , 
19,91132000,-贱金属制，不论是否镀金或镀银,14,100, , 
19,91131000,-贵金属或包贵金属制,20,130, , 
19,9113,表带及其零件：, , , , 
19,91129000,-零件,12,80, , 
19,91122000,-壳,14,80, , 
19,9112,钟壳和本章所列其他货品的类似外壳及其零件：, , , , 
19,91119000,-零件,14,80, , 
19,91118000,-其他表壳,14,80, , 
19,91112000,-贱金属表壳，不论是否镀金或镀银,14,80, , 
19,91111000,-贵金属表壳或包贵金属表壳,14,80, , 
19,9111,表壳及其零件：, , , , 
19,91109090,---其他,16,80, , 
19,91109010,---未组装或部分组装的完整机芯,16,100, , 
19,91109,-其他：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
20,91101900,--未组装的不完整机芯,16,70, , 
20,91101200,--已组装的不完整机芯,16,70, , 
20,91101100,--未组装或部分组装的完整机芯（机芯套装件),16,80, , 
20,91101,-表的：, , , , 
20,9110,未组装或部分组装的完整钟、表机芯（机芯套装件)；已组装的不完整钟、表机芯；未组装的不完整钟、表机芯：, , , , 
20,91099000,-其他,16,100, , 
20,91091000,-电力驱动的,16,100, , 
20,9109,已组装的完整钟芯：, , , , 
20,91089090,---其他,16,80, , 
20,91089010,---表面尺寸在33.8毫米及以下,16,80, , 
20,91089,-其他：, , , , 
20,91082000,-自动上弦的,16,80, , 
20,91081900,--其他,16,80, , 
20,91081200,--仅有光电显示器的,16,80, , 
20,91081100,--仅有机械指示器或有可装机械指示器的装置的,16,80, ,10
20,91081,-电力驱动的：, , , , 
20,9108,已组装的完整表芯：, , , , 
20,91070000,装有钟、表机芯或同步电动机的定时开关,8,50, , 
20,9107,装有钟、表机芯或同步电动机的定时开关：, , , , 
20,91069000,-其他,10,50, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
21,91061000,-考勤钟、时刻记录器,10,50, , 
21,9106,时间记录器以及测量、记录或指示时间间隔的装置，装有钟、表机芯或同步电动机的（例如，考勤钟、时刻记录器)：, , , , 
21,91059900,--其他,10,100, , 
21,91059190,---其他,15,100, , 
21,91059110,---天文钟,2,8, , 
21,910591,--电力驱动的：, , , , 
21,91059,-其他：, , , , 
21,91052900,--其他,10,100, , 
21,91052100,--电力驱动的,15,100, , 
21,91052,-挂钟：, , , , 
21,91051900,--其他,10,100, , 
21,91051100,--电力驱动的,15,100, , 
21,91051,-闹钟：, , , , 
21,9105,其他钟：, , , , 
21,91040000,仪表板钟及车辆、航空器、航天器或船舶用的类似钟,10,100, , 
21,9104,仪表板钟及车辆、航空器、航天器或船舶用的类似钟：, , , , 
21,91039000,-其他,15,100, , 
21,91031000,-电力驱动的,15,100, , 
21,9103,以表芯装成的钟，但不包括税目91.04的钟：, , , , 
21,91029900,--其他,15,80, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
22,91029100,--电力驱动的,10,100, , 
22,91029,-其他：, , , , 
22,91022900,--其他,10,80, , 
22,91022100,--自动上弦的,11,80, , 
22,91022,-其他手表，不论是否装有秒表装置：, , , , 
22,91021900,--其他,8,100, , 
22,91021200,--仅有光电显示器的,15,100, , 
22,91021100,--仅有机械指示器的,10,100, , 
22,91021,-电力驱动的手表，不论是否附有秒表装置：, , , , 
22,9102,手表、怀表及其他表，包括秒表，但税目 91.01的货品除外：, , , , 
22,91019900,--其他,15,80, , 
22,91019100,--电力驱动的,8,100, , 
22,91019,-其他：, , , , 
22,91012900,--其他,8,80, , 
22,91012100,--自动上弦的,8,80, , 
22,91012,-其他手表，不论是否附有秒表装置：, , , , 
22,91011990,---其他,8,100, , 
22,91011910,---仅有光电显示器的,8,100, , 
22,910119,--其他：, , , , 
22,91011100,--仅有机械指示器的,8,100, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
23,91011,-电力驱动的手表，不论是否附有秒表装置：, , , , 
23,9101,手表、怀表及其他表，包括秒表，表壳用贵金属或包贵金属制成的：, , , , 
23,90330000,第九十章所列机器、器具、仪器或装置用的本章其他税目未列名的零件、附件,6,17, ,5
23,9033,第九十章所列机器、器具、仪器或装置用的本章其他税目未列名的零件、附件：, , , , 
23,90329000,-零件、附件,5,17, ,1
23,90328990,---其他,7,17, ,3
23,90328919,----其他,7,17, , 
23,90328912,----列车自动运行系统(ATO)车载设备,7,17, , 
23,90328911,----列车自动防护系统(ATP)车载设备,7,17, , 
23,9032891,---列车自动控制系统（ATC)车载设备：, , , , 
23,903289,--其他：, , , , 
23,90328100,--液压或气压的,4.7/3.5,17, , 
23,90328,-其他仪器及装置：, , , , 
23,90322000,-恒压器,4.7/3.5,17, , 
23,90321000,-恒温器,7,17, , 
23,9032,自动调节或控制仪器及装置：, , , , 
23,90319000,-零件、附件,0,17, , 
23,90318090,---其他,5,17, ,2
23,90318039,----其他,5,17, , 
23,90318033,----涡流探伤检测仪,5,17, ,3
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
24,90318032,----磁粉探伤检测仪,5,17, , 
24,90318031,----超声波探伤检测仪,5,17, , 
24,9031803,---无损探伤检测仪器(射线探伤仪除外)：, , , , 
24,90318020,---坐标测量仪,5,17, , 
24,90318010,---光纤通信及光纤性能测试仪,5,17, , 
24,90318,-其他仪器、器具及机器：, , , , 
24,90314990,---其他,0,17, , 
24,90314920,---光栅测量装置,0,17, , 
